"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnc00552",3,"Up",0.000922983365830315,0.0466472135726175,0.539627788459381,0.905917906477478,"Teichoic acid biosynthesis","HMPREF0946_RS06830;HMPREF0946_RS09785;HMPREF0946_RS09860"
"fnc00460",3,"Up",0.000982046601528789,0.0466472135726175,0.470486694736782,0.869956529890653,"Cyanoamino acid metabolism","HMPREF0946_RS04525;HMPREF0946_RS04650;HMPREF0946_RS10960"
"rpoE",64,"Up",0.00244667367635007,0.0659146383792164,0.000644913520746172,0.0158003812582812,"rpoE","HMPREF0946_RS09935;HMPREF0946_RS00600;HMPREF0946_RS00870;HMPREF0946_RS01085;HMPREF0946_RS01090;HMPREF0946_RS01755;HMPREF0946_RS02000;HMPREF0946_RS02005;HMPREF0946_RS02010;HMPREF0946_RS02015;HMPREF0946_RS02020;HMPREF0946_RS02025;HMPREF0946_RS02030;HMPREF0946_RS02040;HMPREF0946_RS02055;HMPREF0946_RS02085;HMPREF0946_RS07770;HMPREF0946_RS07750;HMPREF0946_RS07725;HMPREF0946_RS07720;HMPREF0946_RS07715;HMPREF0946_RS07705;HMPREF0946_RS07215;HMPREF0946_RS06840;HMPREF0946_RS06695;HMPREF0946_RS06690;HMPREF0946_RS06680;HMPREF0946_RS06670;HMPREF0946_RS06665;HMPREF0946_RS06660;HMPREF0946_RS06655;HMPREF0946_RS06640;HMPREF0946_RS06635;HMPREF0946_RS06090;HMPREF0946_RS06085;HMPREF0946_RS06010;HMPREF0946_RS06005;HMPREF0946_RS05995;HMPREF0946_RS05985;HMPREF0946_RS05805;HMPREF0946_RS05800;HMPREF0946_RS05795;HMPREF0946_RS05790;HMPREF0946_RS05775;HMPREF0946_RS05770;HMPREF0946_RS04970;HMPREF0946_RS04960;HMPREF0946_RS04955;HMPREF0946_RS04770;HMPREF0946_RS04560;HMPREF0946_RS04550;HMPREF0946_RS04525;HMPREF0946_RS04520;HMPREF0946_RS04515;HMPREF0946_RS06585;HMPREF0946_RS06590;HMPREF0946_RS03540;HMPREF0946_RS03535;HMPREF0946_RS03530;HMPREF0946_RS03520;HMPREF0946_RS03035;HMPREF0946_RS03030;HMPREF0946_RS03025;HMPREF0946_RS03020"
"fnc00052",5,"Up",0.00277535319491438,0.0659146383792164,0.691614128405669,0.951162538792863,"Galactose metabolism","HMPREF0946_RS03850;HMPREF0946_RS06390;HMPREF0946_RS09880;HMPREF0946_RS00090;HMPREF0946_RS00085"
"fnc00550",7,"Up",0.00368702506781484,0.0700534762884819,0.19812560459586,0.545592737656963,"Peptidoglycan biosynthesis","HMPREF0946_RS03720;HMPREF0946_RS06350;HMPREF0946_RS06775;HMPREF0946_RS07270;HMPREF0946_RS09060;HMPREF0946_RS09860;HMPREF0946_RS10640"
"fnc00500",8,"Up",0.00537464757547947,0.0765442826727598,0.303267770797333,0.70762479852711,"Starch and sucrose metabolism","HMPREF0946_RS03850;HMPREF0946_RS04745;HMPREF0946_RS04985;HMPREF0946_RS04995;HMPREF0946_RS05005;HMPREF0946_RS05280;HMPREF0946_RS06390;HMPREF0946_RS10540"
"fnc00710",8,"Down",0.00678933771689691,0.0765442826727598,0.0277594833638476,0.136021468482853,"Carbon fixation by Calvin cycle","HMPREF0946_RS04180;HMPREF0946_RS04735;HMPREF0946_RS04740;HMPREF0946_RS06495;HMPREF0946_RS08275;HMPREF0946_RS08465;HMPREF0946_RS08470;HMPREF0946_RS03035"
"fnc02060",9,"Up",0.00681945618220252,0.0765442826727598,0.0201133435098357,0.103968024179168,"Phosphotransferase system (PTS)","HMPREF0946_RS05280;HMPREF0946_RS08660;HMPREF0946_RS08670;HMPREF0946_RS08675;HMPREF0946_RS09280;HMPREF0946_RS09520;HMPREF0946_RS01020;HMPREF0946_RS00685;HMPREF0946_RS00620"
"fnc00250",10,"Up",0.00765852646055035,0.0765442826727598,0.0159166044261095,0.0917545431622783,"Alanine, aspartate and glutamate metabolism","HMPREF0946_RS03565;HMPREF0946_RS04525;HMPREF0946_RS04650;HMPREF0946_RS05605;HMPREF0946_RS06335;HMPREF0946_RS07010;HMPREF0946_RS07705;HMPREF0946_RS01590;HMPREF0946_RS10865;HMPREF0946_RS03270"
"fnc01503",6,"Up",0.00805729291292209,0.0765442826727598,0.238318116806126,0.58308825192514,"Cationic antimicrobial peptide (CAMP) resistance","HMPREF0946_RS03345;HMPREF0946_RS03505;HMPREF0946_RS06980;HMPREF0946_RS06985;HMPREF0946_RS06990;HMPREF0946_RS07310"
"fnc00630",6,"Up",0.0144038780636354,0.116787828576362,0.468437238062613,0.869956529890653,"Glyoxylate and dicarboxylate metabolism","HMPREF0946_RS03590;HMPREF0946_RS07010;HMPREF0946_RS10960;HMPREF0946_RS10115;HMPREF0946_RS01900;HMPREF0946_RS01890"
"fnc00130",2,"Down",0.0165450029858273,0.116787828576362,0.576370878090093,0.91103783956176,"Ubiquinone and other terpenoid-quinone biosynthesis","HMPREF0946_RS09495;HMPREF0946_RS09500"
"fnc00650",15,"Down",0.0169386238590537,0.116787828576362,0.0118431340521849,0.0773751424742749,"Butanoate metabolism","HMPREF0946_RS03590;HMPREF0946_RS04095;HMPREF0946_RS04105;HMPREF0946_RS04685;HMPREF0946_RS05745;HMPREF0946_RS05750;HMPREF0946_RS06595;HMPREF0946_RS02500;HMPREF0946_RS02495;HMPREF0946_RS02490;HMPREF0946_RS02480;HMPREF0946_RS02475;HMPREF0946_RS01885;HMPREF0946_RS01880;HMPREF0946_RS00335"
