"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnu02024",46,"Up",0.000480271175662907,0.0456257616879761,7.90603935492759e-05,0.0012517895645302,"Quorum sensing","cds-C4N14_02370;cds-C4N14_04340;cds-C4N14_04345;cds-C4N14_04350;cds-C4N14_04355;cds-C4N14_05365;cds-C4N14_05370;cds-C4N14_05375;cds-C4N14_05380;cds-C4N14_05385;cds-C4N14_09550;cds-C4N14_07840;cds-C4N14_07185;cds-C4N14_06785;cds-C4N14_06610;cds-C4N14_06605;cds-C4N14_06600;cds-C4N14_06595;cds-C4N14_06590;cds-C4N14_06535;cds-C4N14_05535;cds-C4N14_05425;cds-C4N14_10225;cds-C4N14_10230;cds-C4N14_10235;cds-C4N14_10240;cds-C4N14_10405;cds-C4N14_10570;cds-C4N14_10575;cds-C4N14_10580;cds-C4N14_10585;cds-C4N14_10590;cds-C4N14_00060;cds-C4N14_00140;cds-C4N14_00145;cds-C4N14_00150;cds-C4N14_00155;cds-C4N14_00160;cds-C4N14_00680;cds-C4N14_00795;cds-C4N14_00800;cds-C4N14_00805;cds-C4N14_00810;cds-C4N14_00815;cds-C4N14_01180;cds-C4N14_01890"
"fnu00900",11,"Down",0.00487893511242838,0.120706011667542,0.019059561484813,0.0441623985623716,"Terpenoid backbone biosynthesis","cds-C4N14_02450;cds-C4N14_09835;cds-C4N14_09750;cds-C4N14_06090;cds-C4N14_05480;cds-C4N14_05470;cds-C4N14_05465;cds-C4N14_10740;cds-C4N14_00465;cds-C4N14_01475;cds-C4N14_01505"
"fnu02010",55,"Up",0.00577964888419932,0.120706011667542,0.000998015778281337,0.00592571868354544,"ABC transporters","cds-C4N14_04685;cds-C4N14_04905;cds-C4N14_04910;cds-C4N14_04915;cds-C4N14_05265;cds-C4N14_05270;cds-C4N14_05275;cds-C4N14_09325;cds-C4N14_09320;cds-C4N14_09165;cds-C4N14_09160;cds-C4N14_09145;cds-C4N14_08950;cds-C4N14_08945;cds-C4N14_08940;cds-C4N14_08900;cds-C4N14_08895;cds-C4N14_08890;cds-C4N14_08885;cds-C4N14_08745;cds-C4N14_08220;cds-C4N14_08215;cds-C4N14_08210;cds-C4N14_07440;cds-C4N14_07015;cds-C4N14_07010;cds-C4N14_06470;cds-C4N14_06465;cds-C4N14_06460;cds-C4N14_06295;cds-C4N14_06290;cds-C4N14_06285;cds-C4N14_10570;cds-C4N14_10575;cds-C4N14_10580;cds-C4N14_10585;cds-C4N14_10590;cds-C4N14_00030;cds-C4N14_00035;cds-C4N14_00040;cds-C4N14_00045;cds-C4N14_00050;cds-C4N14_01555;cds-C4N14_01560;cds-C4N14_01565;cds-C4N14_01615;cds-C4N14_01620;cds-C4N14_01625;cds-C4N14_01630;cds-C4N14_03015;cds-C4N14_03010;cds-C4N14_03005;cds-C4N14_03000;cds-C4N14_02950;cds-C4N14_02945"
"fnu00470",11,"Up",0.00613961450671843,0.120706011667542,0.00150201086754209,0.00792727957869435,"D-Amino acid metabolism","cds-C4N14_10125;cds-C4N14_09770;cds-C4N14_09465;cds-C4N14_06320;cds-C4N14_10420;cds-C4N14_10690;cds-C4N14_10710;cds-C4N14_00495;cds-C4N14_01240;cds-C4N14_03755;cds-C4N14_03750"
"fnu00740",6,"Down",0.00690708698646479,0.120706011667542,0.16878005418504,0.262854182747194,"Riboflavin metabolism","cds-C4N14_08690;cds-C4N14_07800;cds-C4N14_00055;cds-C4N14_00060;cds-C4N14_00065;cds-C4N14_00070"
"fnu00710",12,"Down",0.00762353757900266,0.120706011667542,0.00428769115424369,0.0150863207278945,"Carbon fixation by Calvin cycle","cds-C4N14_04810;cds-C4N14_04815;cds-C4N14_05010;cds-C4N14_08980;cds-C4N14_08970;cds-C4N14_08825;cds-C4N14_08240;cds-C4N14_08230;cds-C4N14_06555;cds-C4N14_06345;cds-C4N14_10260;cds-C4N14_03680"
"fnu00521",5,"Down",0.0118658353483822,0.146903334921298,0.295686372262496,0.4126972586643,"Streptomycin biosynthesis","cds-C4N14_09430;cds-C4N14_06300;cds-C4N14_05615;cds-C4N14_00890;cds-C4N14_01020"
"fnu00541",8,"Down",0.0124902846010933,0.146903334921298,0.0277077525467749,0.0548382602488254,"O-Antigen nucleotide sugar biosynthesis","cds-C4N14_05280;cds-C4N14_05800;cds-C4N14_05615;cds-C4N14_00890;cds-C4N14_00950;cds-C4N14_01020;cds-C4N14_03065;cds-C4N14_02215"
"fnu01210",3,"Up",0.0139171580451756,0.146903334921298,0.385601534567934,0.508779802554912,"2-Oxocarboxylic acid metabolism","cds-C4N14_06380;cds-C4N14_06270;cds-C4N14_10535"
"fnu00860",29,"Up",0.0164713781233292,0.156478092171628,0.00077799059654926,0.00492727377814531,"Porphyrin metabolism","cds-C4N14_02805;cds-C4N14_09925;cds-C4N14_09545;cds-C4N14_09540;cds-C4N14_09020;cds-C4N14_09015;cds-C4N14_09010;cds-C4N14_07620;cds-C4N14_07615;cds-C4N14_07610;cds-C4N14_07605;cds-C4N14_07415;cds-C4N14_07410;cds-C4N14_07405;cds-C4N14_07380;cds-C4N14_07370;cds-C4N14_07355;cds-C4N14_07345;cds-C4N14_07340;cds-C4N14_07325;cds-C4N14_07315;cds-C4N14_07310;cds-C4N14_07300;cds-C4N14_07290;cds-C4N14_05815;cds-C4N14_05600;cds-C4N14_10135;cds-C4N14_01515;cds-C4N14_02030"
