"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnc00562",2,"Up",0.000266363301348562,0.0253045136281134,0.514723202596402,1,"Inositol phosphate metabolism","HMPREF0946_RS10130;HMPREF0946_RS03035"
"fnc01230",25,"Up",0.00262714145619734,0.124789219169374,0.00295161611836506,0.0578516759199553,"Biosynthesis of amino acids","HMPREF0946_RS04180;HMPREF0946_RS04500;HMPREF0946_RS04650;HMPREF0946_RS04820;HMPREF0946_RS04850;HMPREF0946_RS05305;HMPREF0946_RS05725;HMPREF0946_RS05910;HMPREF0946_RS06120;HMPREF0946_RS06335;HMPREF0946_RS06495;HMPREF0946_RS06575;HMPREF0946_RS07010;HMPREF0946_RS07775;HMPREF0946_RS08275;HMPREF0946_RS08465;HMPREF0946_RS08470;HMPREF0946_RS09260;HMPREF0946_RS10960;HMPREF0946_RS10105;HMPREF0946_RS10120;HMPREF0946_RS02840;HMPREF0946_RS02270;HMPREF0946_RS03035;HMPREF0946_RS00550"
"fnc01100",208,"Up",0.0142800245617803,0.352513608959417,0.0570436312998265,0.483331996787595,"Metabolic pathways","HMPREF0946_RS03370;HMPREF0946_RS03405;HMPREF0946_RS03555;HMPREF0946_RS03565;HMPREF0946_RS03580;HMPREF0946_RS03590;HMPREF0946_RS03615;HMPREF0946_RS03650;HMPREF0946_RS03720;HMPREF0946_RS03775;HMPREF0946_RS03800;HMPREF0946_RS03850;HMPREF0946_RS03975;HMPREF0946_RS04070;HMPREF0946_RS04095;HMPREF0946_RS04105;HMPREF0946_RS04180;HMPREF0946_RS04290;HMPREF0946_RS04460;HMPREF0946_RS04465;HMPREF0946_RS04500;HMPREF0946_RS04505;HMPREF0946_RS04525;HMPREF0946_RS04575;HMPREF0946_RS04650;HMPREF0946_RS04685;HMPREF0946_RS04720;HMPREF0946_RS04735;HMPREF0946_RS04740;HMPREF0946_RS04745;HMPREF0946_RS04820;HMPREF0946_RS04850;HMPREF0946_RS04955;HMPREF0946_RS04960;HMPREF0946_RS04985;HMPREF0946_RS04995;HMPREF0946_RS05005;HMPREF0946_RS05025;HMPREF0946_RS05060;HMPREF0946_RS05115;HMPREF0946_RS05175;HMPREF0946_RS05180;HMPREF0946_RS05260;HMPREF0946_RS05280;HMPREF0946_RS05305;HMPREF0946_RS05325;HMPREF0946_RS05525;HMPREF0946_RS05535;HMPREF0946_RS05560;HMPREF0946_RS05595;HMPREF0946_RS05600;HMPREF0946_RS05605;HMPREF0946_RS05610;HMPREF0946_RS05620;HMPREF0946_RS05630;HMPREF0946_RS05705;HMPREF0946_RS05720;HMPREF0946_RS05725;HMPREF0946_RS05730;HMPREF0946_RS05745;HMPREF0946_RS05880;HMPREF0946_RS05910;HMPREF0946_RS06120;HMPREF0946_RS06175;HMPREF0946_RS06285;HMPREF0946_RS06335;HMPREF0946_RS06350;HMPREF0946_RS06380;HMPREF0946_RS06390;HMPREF0946_RS06415;HMPREF0946_RS06425;HMPREF0946_RS06435;HMPREF0946_RS06495;HMPREF0946_RS06575;HMPREF0946_RS06595;HMPREF0946_RS06640;HMPREF0946_RS06670;HMPREF0946_RS06765;HMPREF0946_RS06775;HMPREF0946_RS06835;HMPREF0946_RS06930;HMPREF0946_RS07005;HMPREF0946_RS07010;HMPREF0946_RS07140;HMPREF0946_RS07160;HMPREF0946_RS07180;HMPREF0946_RS07185;HMPREF0946_RS07220;HMPREF0946_RS07255;HMPREF0946_RS07260;HMPREF0946_RS07265;HMPREF0946_RS07275;HMPREF0946_RS07705;HMPREF0946_RS07720;HMPREF0946_RS07750;HMPREF0946_RS07770;HMPREF0946_RS07775;HMPREF0946_RS07805;HMPREF0946_RS07810;HMPREF0946_RS08275;HMPREF0946_RS08465;HMPREF0946_RS08470;HMPREF0946_RS08570;HMPREF0946_RS08660;HMPREF0946_RS08670;HMPREF0946_RS08675;HMPREF0946_RS09060;HMPREF0946_RS09120;HMPREF0946_RS09200;HMPREF0946_RS09205;HMPREF0946_RS09235;HMPREF0946_RS09240;HMPREF0946_RS09260;HMPREF0946_RS09265;HMPREF0946_RS09270;HMPREF0946_RS09340;HMPREF0946_RS09355;HMPREF0946_RS09465;HMPREF0946_RS09495;HMPREF0946_RS09500;HMPREF0946_RS09755;HMPREF0946_RS10960;HMPREF0946_RS09810;HMPREF0946_RS09815;HMPREF0946_RS09835;HMPREF0946_RS09880;HMPREF0946_RS09990;HMPREF0946_RS09995;HMPREF0946_RS10000;HMPREF0946_RS10005;HMPREF0946_RS10010;HMPREF0946_RS10015;HMPREF0946_RS10020;HMPREF0946_RS10025;HMPREF0946_RS10030;HMPREF0946_RS10035;HMPREF0946_RS10040;HMPREF0946_RS10050;HMPREF0946_RS10105;HMPREF0946_RS10110;HMPREF0946_RS10115;HMPREF0946_RS10120;HMPREF0946_RS10125;HMPREF0946_RS10130;HMPREF0946_RS10385;HMPREF0946_RS10390;HMPREF0946_RS02840;HMPREF0946_RS02835;HMPREF0946_RS02830;HMPREF0946_RS02810;HMPREF0946_RS02670;HMPREF0946_RS02555;HMPREF0946_RS02500;HMPREF0946_RS02495;HMPREF0946_RS02490;HMPREF0946_RS02350;HMPREF0946_RS02270;HMPREF0946_RS02210;HMPREF0946_RS01975;HMPREF0946_RS01940;HMPREF0946_RS01915;HMPREF0946_RS01900;HMPREF0946_RS01890;HMPREF0946_RS01885;HMPREF0946_RS01880;HMPREF0946_RS01855;HMPREF0946_RS01850;HMPREF0946_RS01825;HMPREF0946_RS01820;HMPREF0946_RS01630;HMPREF0946_RS01610;HMPREF0946_RS01590;HMPREF0946_RS01575;HMPREF0946_RS01565;HMPREF0946_RS01410;HMPREF0946_RS01360;HMPREF0946_RS01035;HMPREF0946_RS01000;HMPREF0946_RS00990;HMPREF0946_RS00925;HMPREF0946_RS00340;HMPREF0946_RS00335;HMPREF0946_RS00310;HMPREF0946_RS00230;HMPREF0946_RS00220;HMPREF0946_RS00090;HMPREF0946_RS00085;HMPREF0946_RS10865;HMPREF0946_RS10860;HMPREF0946_RS10640;HMPREF0946_RS10610;HMPREF0946_RS10540;HMPREF0946_RS03320;HMPREF0946_RS03305;HMPREF0946_RS03295;HMPREF0946_RS03290;HMPREF0946_RS03275;HMPREF0946_RS03270;HMPREF0946_RS03195;HMPREF0946_RS03190;HMPREF0946_RS03170;HMPREF0946_RS03035;HMPREF0946_RS02985;HMPREF0946_RS00650;HMPREF0946_RS00640;HMPREF0946_RS00550;HMPREF0946_RS00485;HMPREF0946_RS05545"
"fnc02024",44,"Up",0.0205503464326854,0.352513608959417,0.00248959484476824,0.0578516759199553,"Quorum sensing","HMPREF0946_RS05025;HMPREF0946_RS05375;HMPREF0946_RS05650;HMPREF0946_RS06175;HMPREF0946_RS07210;HMPREF0946_RS07570;HMPREF0946_RS07575;HMPREF0946_RS07580;HMPREF0946_RS07585;HMPREF0946_RS07590;HMPREF0946_RS08165;HMPREF0946_RS08180;HMPREF0946_RS08210;HMPREF0946_RS08215;HMPREF0946_RS08220;HMPREF0946_RS08225;HMPREF0946_RS08410;HMPREF0946_RS08415;HMPREF0946_RS08420;HMPREF0946_RS08425;HMPREF0946_RS08430;HMPREF0946_RS08605;HMPREF0946_RS08610;HMPREF0946_RS08615;HMPREF0946_RS08620;HMPREF0946_RS08625;HMPREF0946_RS09395;HMPREF0946_RS09400;HMPREF0946_RS09405;HMPREF0946_RS09410;HMPREF0946_RS09415;HMPREF0946_RS09670;HMPREF0946_RS09675;HMPREF0946_RS09680;HMPREF0946_RS09685;HMPREF0946_RS09690;HMPREF0946_RS02455;HMPREF0946_RS02450;HMPREF0946_RS02445;HMPREF0946_RS02440;HMPREF0946_RS10895;HMPREF0946_RS03065;HMPREF0946_RS03060;HMPREF0946_RS03055"
"fnc00760",6,"Up",0.0216932859439727,0.352513608959417,0.352516713023731,0.987046796466448,"Nicotinate and nicotinamide metabolism","HMPREF0946_RS06435;HMPREF0946_RS06640;HMPREF0946_RS07805;HMPREF0946_RS08570;HMPREF0946_RS10865;HMPREF0946_RS10860"
"fnc00541",4,"Up",0.0222640174079631,0.352513608959417,0.498655723132653,1,"O-Antigen nucleotide sugar biosynthesis","HMPREF0946_RS09755;HMPREF0946_RS09810;HMPREF0946_RS09815;HMPREF0946_RS09835"
"fnc01210",2,"Up",0.029427451339171,0.399372553888749,0.603390697645465,1,"2-Oxocarboxylic acid metabolism","HMPREF0946_RS06335;HMPREF0946_RS10105"
"fnc00290",2,"Up",0.0444071039499656,0.417236187862783,0.677185191345618,1,"Valine, leucine and isoleucine biosynthesis","HMPREF0946_RS10105;HMPREF0946_RS02840"
"fnc00543",1,"Up",0.0467299139811847,0.417236187862783,0.0467299139811847,0.483331996787595,"Exopolysaccharide biosynthesis","HMPREF0946_RS09795"
"fnc04981",4,"Up",0.0475705857246901,0.417236187862783,0.944750781770441,1,"Folate transport and metabolism","HMPREF0946_RS05175;HMPREF0946_RS10960;HMPREF0946_RS02670;HMPREF0946_RS02270"
"fnc00260",6,"Up",0.048311558594638,0.417236187862783,0.43028594110603,1,"Glycine, serine and threonine metabolism","HMPREF0946_RS04820;HMPREF0946_RS05305;HMPREF0946_RS06120;HMPREF0946_RS10960;HMPREF0946_RS10120;HMPREF0946_RS02840"
"fnc00520",14,"Up",0.0601194045311339,0.457517477882259,0.100255211854732,0.614063172610235,"Amino sugar and nucleotide sugar metabolism","HMPREF0946_RS03850;HMPREF0946_RS04995;HMPREF0946_RS05280;HMPREF0946_RS06285;HMPREF0946_RS06390;HMPREF0946_RS07720;HMPREF0946_RS09200;HMPREF0946_RS09205;HMPREF0946_RS09520;HMPREF0946_RS09815;HMPREF0946_RS09835;HMPREF0946_RS00090;HMPREF0946_RS00085;HMPREF0946_RS10540"
"fnc00400",3,"Up",0.0626076548680987,0.457517477882259,0.561005858092919,1,"Phenylalanine, tyrosine and tryptophan biosynthesis","HMPREF0946_RS04850;HMPREF0946_RS06335;HMPREF0946_RS09260"
"fnc00680",5,"Up",0.0758595241165689,0.483675616781984,0.511902913261206,1,"Methane metabolism","HMPREF0946_RS04740;HMPREF0946_RS06425;HMPREF0946_RS08275;HMPREF0946_RS10960;HMPREF0946_RS10120"
"fnc00770",4,"Up",0.0782867363123916,0.483675616781984,0.438103711580344,1,"Pantothenate and CoA biosynthesis","HMPREF0946_RS03405;HMPREF0946_RS04575;HMPREF0946_RS10105;HMPREF0946_RS00990"
"fnc01110",69,"Up",0.0814611565106499,0.483675616781984,0.0508916361647659,0.483331996787595,"Biosynthesis of secondary metabolites","HMPREF0946_RS03405;HMPREF0946_RS03590;HMPREF0946_RS03615;HMPREF0946_RS03775;HMPREF0946_RS03850;HMPREF0946_RS04180;HMPREF0946_RS04290;HMPREF0946_RS04500;HMPREF0946_RS04525;HMPREF0946_RS04650;HMPREF0946_RS04685;HMPREF0946_RS04735;HMPREF0946_RS04740;HMPREF0946_RS04745;HMPREF0946_RS04820;HMPREF0946_RS04850;HMPREF0946_RS04985;HMPREF0946_RS04995;HMPREF0946_RS05005;HMPREF0946_RS05235;HMPREF0946_RS05305;HMPREF0946_RS05595;HMPREF0946_RS05600;HMPREF0946_RS05605;HMPREF0946_RS05610;HMPREF0946_RS05620;HMPREF0946_RS05910;HMPREF0946_RS06120;HMPREF0946_RS06335;HMPREF0946_RS06390;HMPREF0946_RS06415;HMPREF0946_RS06495;HMPREF0946_RS06575;HMPREF0946_RS06670;HMPREF0946_RS07010;HMPREF0946_RS07140;HMPREF0946_RS07185;HMPREF0946_RS07260;HMPREF0946_RS07265;HMPREF0946_RS07270;HMPREF0946_RS07275;HMPREF0946_RS07705;HMPREF0946_RS07775;HMPREF0946_RS07810;HMPREF0946_RS08275;HMPREF0946_RS08465;HMPREF0946_RS08470;HMPREF0946_RS09120;HMPREF0946_RS09260;HMPREF0946_RS09340;HMPREF0946_RS09355;HMPREF0946_RS09495;HMPREF0946_RS09500;HMPREF0946_RS09755;HMPREF0946_RS10960;HMPREF0946_RS09880;HMPREF0946_RS10105;HMPREF0946_RS10120;HMPREF0946_RS02840;HMPREF0946_RS02395;HMPREF0946_RS02270;HMPREF0946_RS01185;HMPREF0946_RS10540;HMPREF0946_RS03195;HMPREF0946_RS03190;HMPREF0946_RS03170;HMPREF0946_RS03035;HMPREF0946_RS00650;HMPREF0946_RS00550"
"fnc00130",2,"Down",0.093005867393047,0.484054790378049,1,1,"Ubiquinone and other terpenoid-quinone biosynthesis","HMPREF0946_RS09495;HMPREF0946_RS09500"
"fnc01232",11,"Down",0.0951186701730786,0.484054790378049,0.581855586466271,1,"Nucleotide metabolism","HMPREF0946_RS07140;HMPREF0946_RS07255;HMPREF0946_RS07705;HMPREF0946_RS09240;HMPREF0946_RS10385;HMPREF0946_RS10390;HMPREF0946_RS01630;HMPREF0946_RS01590;HMPREF0946_RS01575;HMPREF0946_RS01360;HMPREF0946_RS00230"
"fnc01250",13,"Up",0.0968109580756097,0.484054790378049,0.0641154689616198,0.483331996787595,"Biosynthesis of nucleotide sugars","HMPREF0946_RS03850;HMPREF0946_RS04995;HMPREF0946_RS05180;HMPREF0946_RS06390;HMPREF0946_RS07720;HMPREF0946_RS09755;HMPREF0946_RS09810;HMPREF0946_RS09815;HMPREF0946_RS09835;HMPREF0946_RS02555;HMPREF0946_RS00090;HMPREF0946_RS00085;HMPREF0946_RS10540"
