"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnu03440",20,"Up",0.0212198238517822,0.968541893938071,0.227813159403467,1,"Homologous recombination","cds-C4N14_04335;cds-C4N14_04465;cds-C4N14_04760;cds-C4N14_05260;cds-C4N14_10095;cds-C4N14_09560;cds-C4N14_09505;cds-C4N14_09150;cds-C4N14_07585;cds-C4N14_06635;cds-C4N14_06360;cds-C4N14_06045;cds-C4N14_05595;cds-C4N14_10345;cds-C4N14_10885;cds-C4N14_00445;cds-C4N14_00855;cds-C4N14_03915;cds-C4N14_02900;cds-C4N14_02340"
"fnu01232",23,"Up",0.0312887416331799,0.968541893938071,0.0271918126379861,1,"Nucleotide metabolism","cds-C4N14_01785;cds-C4N14_01780;cds-C4N14_04570;cds-C4N14_04795;cds-C4N14_04920;cds-C4N14_05240;cds-C4N14_10085;cds-C4N14_10005;cds-C4N14_09810;cds-C4N14_08410;cds-C4N14_07025;cds-C4N14_05980;cds-C4N14_05620;cds-C4N14_05485;cds-C4N14_10640;cds-C4N14_10840;cds-C4N14_00370;cds-C4N14_00585;cds-C4N14_00595;cds-C4N14_00670;cds-C4N14_03565;cds-C4N14_01845;cds-C4N14_02045"
"fnu01240",91,"Up",0.0850502702583023,0.968541893938071,0.599198736441356,1,"Biosynthesis of cofactors","cds-C4N14_02390;cds-C4N14_02395;cds-C4N14_02400;cds-C4N14_02625;cds-C4N14_02695;cds-C4N14_02740;cds-C4N14_02745;cds-C4N14_02805;cds-C4N14_04135;cds-C4N14_04160;cds-C4N14_04575;cds-C4N14_04695;cds-C4N14_05140;cds-C4N14_05175;cds-C4N14_05240;cds-C4N14_10080;cds-C4N14_10075;cds-C4N14_10070;cds-C4N14_10065;cds-C4N14_10060;cds-C4N14_10055;cds-C4N14_10045;cds-C4N14_10040;cds-C4N14_09955;cds-C4N14_09925;cds-C4N14_09755;cds-C4N14_09545;cds-C4N14_09540;cds-C4N14_09260;cds-C4N14_09020;cds-C4N14_09015;cds-C4N14_09010;cds-C4N14_08690;cds-C4N14_08670;cds-C4N14_08525;cds-C4N14_08400;cds-C4N14_07930;cds-C4N14_07925;cds-C4N14_07920;cds-C4N14_07725;cds-C4N14_07620;cds-C4N14_07615;cds-C4N14_07610;cds-C4N14_07605;cds-C4N14_07415;cds-C4N14_07410;cds-C4N14_07405;cds-C4N14_07380;cds-C4N14_07370;cds-C4N14_07355;cds-C4N14_07345;cds-C4N14_07340;cds-C4N14_07325;cds-C4N14_07315;cds-C4N14_07300;cds-C4N14_07290;cds-C4N14_07175;cds-C4N14_07170;cds-C4N14_07165;cds-C4N14_07100;cds-C4N14_06485;cds-C4N14_06120;cds-C4N14_05815;cds-C4N14_05800;cds-C4N14_05620;cds-C4N14_05600;cds-C4N14_10135;cds-C4N14_10735;cds-C4N14_10865;cds-C4N14_00055;cds-C4N14_00060;cds-C4N14_00065;cds-C4N14_00070;cds-C4N14_00245;cds-C4N14_00250;cds-C4N14_00585;cds-C4N14_00670;cds-C4N14_01225;cds-C4N14_01230;cds-C4N14_01235;cds-C4N14_01330;cds-C4N14_01335;cds-C4N14_01340;cds-C4N14_01345;cds-C4N14_01355;cds-C4N14_01360;cds-C4N14_01365;cds-C4N14_01515;cds-C4N14_03415;cds-C4N14_02030;cds-C4N14_02080"
"fnu00130",2,"Up",0.145571696206321,0.968541893938071,1,1,"Ubiquinone and other terpenoid-quinone biosynthesis","cds-C4N14_00245;cds-C4N14_00250"
"fnu00561",7,"Up",0.178867601292402,0.968541893938071,0.792417150293953,1,"Glycerolipid metabolism","cds-C4N14_04115;cds-C4N14_09955;cds-C4N14_09805;cds-C4N14_09555;cds-C4N14_03870;cds-C4N14_03865;cds-C4N14_03860"
"fnu00330",5,"Up",0.181723954333807,0.968541893938071,1,1,"Arginine and proline metabolism","cds-C4N14_09955;cds-C4N14_09725;cds-C4N14_08445;cds-C4N14_06875;cds-C4N14_06380"
"fnu00760",10,"Up",0.191308113597135,0.968541893938071,0.330114358639689,1,"Nicotinate and nicotinamide metabolism","cds-C4N14_02390;cds-C4N14_02395;cds-C4N14_02400;cds-C4N14_04695;cds-C4N14_05140;cds-C4N14_10005;cds-C4N14_06485;cds-C4N14_06200;cds-C4N14_06120;cds-C4N14_03430"
"fnu00920",4,"Up",0.197223563529383,0.968541893938071,1,1,"Sulfur metabolism","cds-C4N14_07115;cds-C4N14_06885;cds-C4N14_06030;cds-C4N14_01300"
"fnu00670",12,"Up",0.197492405368629,0.968541893938071,0.0929435502151073,1,"One carbon pool by folate","cds-C4N14_04180;cds-C4N14_04570;cds-C4N14_04575;cds-C4N14_08525;cds-C4N14_08515;cds-C4N14_07660;cds-C4N14_07265;cds-C4N14_07250;cds-C4N14_10470;cds-C4N14_10865;cds-C4N14_10870;cds-C4N14_02080"
"fnu04122",5,"Up",0.227353982481708,0.968541893938071,0.794181965660958,1,"Sulfur relay system","cds-C4N14_02625;cds-C4N14_08385;cds-C4N14_01345;cds-C4N14_01350;cds-C4N14_03475"
"fnu00790",9,"Up",0.228043755071983,0.968541893938071,0.746051212148642,1,"Folate biosynthesis","cds-C4N14_02695;cds-C4N14_02740;cds-C4N14_02745;cds-C4N14_04575;cds-C4N14_07100;cds-C4N14_00070;cds-C4N14_01225;cds-C4N14_01230;cds-C4N14_01235"
"fnu00470",11,"Down",0.246031730012714,0.968541893938071,0.888591116219759,1,"D-Amino acid metabolism","cds-C4N14_10125;cds-C4N14_09770;cds-C4N14_09465;cds-C4N14_06320;cds-C4N14_10420;cds-C4N14_10690;cds-C4N14_10710;cds-C4N14_00495;cds-C4N14_01240;cds-C4N14_03755;cds-C4N14_03750"
