HMPREF0946_RS00005	HMPREF0946_01863
HMPREF0946_RS00010	HMPREF0946_01862
HMPREF0946_RS00015	HMPREF0946_01861
HMPREF0946_RS00020	HMPREF0946_01860
HMPREF0946_RS00025	HMPREF0946_01859
HMPREF0946_RS00030	HMPREF0946_01858
HMPREF0946_RS00035	HMPREF0946_01857
HMPREF0946_RS00040	HMPREF0946_01856
HMPREF0946_RS00045	HMPREF0946_01855
HMPREF0946_RS00050	HMPREF0946_01854
HMPREF0946_RS00055	HMPREF0946_01853
HMPREF0946_RS00060	HMPREF0946_01852
HMPREF0946_RS00070	HMPREF0946_01850
HMPREF0946_RS00075	HMPREF0946_02202
HMPREF0946_RS00080	HMPREF0946_01849
HMPREF0946_RS00085	HMPREF0946_01848
HMPREF0946_RS00090	HMPREF0946_01847
HMPREF0946_RS00095	HMPREF0946_01846
HMPREF0946_RS00100	HMPREF0946_01845
HMPREF0946_RS00105	HMPREF0946_01844
HMPREF0946_RS00110	HMPREF0946_01843
HMPREF0946_RS00115	HMPREF0946_01842
HMPREF0946_RS00120	HMPREF0946_01841
HMPREF0946_RS00125	HMPREF0946_01840
HMPREF0946_RS00130	HMPREF0946_01839
HMPREF0946_RS00135	HMPREF0946_01838
HMPREF0946_RS00140	HMPREF0946_01837
HMPREF0946_RS00145	HMPREF0946_01836
HMPREF0946_RS00150	HMPREF0946_01835
HMPREF0946_RS00155	HMPREF0946_01834
HMPREF0946_RS00160	HMPREF0946_01833
HMPREF0946_RS00165	HMPREF0946_01832
HMPREF0946_RS00170	HMPREF0946_01831
HMPREF0946_RS00175	HMPREF0946_01830
HMPREF0946_RS00180	HMPREF0946_01829
HMPREF0946_RS00185	HMPREF0946_01828
HMPREF0946_RS00190	HMPREF0946_01827
HMPREF0946_RS00195	HMPREF0946_01826
HMPREF0946_RS00205	HMPREF0946_01824
HMPREF0946_RS00210	HMPREF0946_01823
HMPREF0946_RS00215	HMPREF0946_01822
HMPREF0946_RS00220	HMPREF0946_01821
HMPREF0946_RS00225	HMPREF0946_01820
HMPREF0946_RS00230	HMPREF0946_01819
HMPREF0946_RS00235	HMPREF0946_01818
HMPREF0946_RS00240	HMPREF0946_01817
HMPREF0946_RS00245	HMPREF0946_01816
HMPREF0946_RS00250	HMPREF0946_01815
HMPREF0946_RS00255	HMPREF0946_01814
HMPREF0946_RS00260	HMPREF0946_01813
HMPREF0946_RS00265	HMPREF0946_01812
HMPREF0946_RS00270	HMPREF0946_01811
HMPREF0946_RS00275	HMPREF0946_01810
HMPREF0946_RS00280	HMPREF0946_01809
HMPREF0946_RS00285	HMPREF0946_01808
HMPREF0946_RS00290	HMPREF0946_01807
HMPREF0946_RS00295	HMPREF0946_01806
HMPREF0946_RS00300	HMPREF0946_01805
HMPREF0946_RS00305	HMPREF0946_01804
HMPREF0946_RS00310	HMPREF0946_01803
HMPREF0946_RS00315	HMPREF0946_01802
HMPREF0946_RS00320	HMPREF0946_01801
HMPREF0946_RS00325	HMPREF0946_01800
HMPREF0946_RS00330	HMPREF0946_01799
HMPREF0946_RS00335	HMPREF0946_01798
HMPREF0946_RS00340	HMPREF0946_01797
HMPREF0946_RS00345	HMPREF0946_01796
HMPREF0946_RS00350	HMPREF0946_01795
HMPREF0946_RS00355	HMPREF0946_01794
HMPREF0946_RS00360	HMPREF0946_01793
HMPREF0946_RS00365	HMPREF0946_01792
HMPREF0946_RS00370	HMPREF0946_01791
HMPREF0946_RS00375	HMPREF0946_01790
HMPREF0946_RS00380	HMPREF0946_01789
HMPREF0946_RS00385	HMPREF0946_04047
HMPREF0946_RS00390	HMPREF0946_04048
HMPREF0946_RS00395	HMPREF0946_04049
HMPREF0946_RS00400	HMPREF0946_02120
HMPREF0946_RS00405	HMPREF0946_02119
HMPREF0946_RS00410	HMPREF0946_02118
HMPREF0946_RS00415	HMPREF0946_02117
HMPREF0946_RS00420	HMPREF0946_02116
HMPREF0946_RS00425	HMPREF0946_02115
HMPREF0946_RS00430	HMPREF0946_02114
HMPREF0946_RS00435	HMPREF0946_02113
HMPREF0946_RS00440	HMPREF0946_02112
HMPREF0946_RS00445	HMPREF0946_02111
HMPREF0946_RS00450	HMPREF0946_02110
HMPREF0946_RS00455	HMPREF0946_02109
HMPREF0946_RS00460	HMPREF0946_02108
HMPREF0946_RS00465	HMPREF0946_02107
HMPREF0946_RS00470	HMPREF0946_02106
HMPREF0946_RS00475	HMPREF0946_02105
HMPREF0946_RS00480	HMPREF0946_02104
HMPREF0946_RS00485	HMPREF0946_02103
HMPREF0946_RS00490	HMPREF0946_02102
HMPREF0946_RS00495	HMPREF0946_02101
HMPREF0946_RS00500	HMPREF0946_02100
HMPREF0946_RS00505	HMPREF0946_02099
HMPREF0946_RS00510	HMPREF0946_02098
HMPREF0946_RS00515	HMPREF0946_02097
HMPREF0946_RS00520	HMPREF0946_02096
HMPREF0946_RS00525	HMPREF0946_02095
HMPREF0946_RS00530	HMPREF0946_02094
HMPREF0946_RS00535	HMPREF0946_02093
HMPREF0946_RS00540	HMPREF0946_02092
HMPREF0946_RS00545	HMPREF0946_02091
HMPREF0946_RS00550	HMPREF0946_02090
HMPREF0946_RS00555	HMPREF0946_02089
HMPREF0946_RS00560	HMPREF0946_02088
HMPREF0946_RS00565	HMPREF0946_02087
HMPREF0946_RS00570	HMPREF0946_02086
HMPREF0946_RS00575	HMPREF0946_02085
HMPREF0946_RS11500	HMPREF0946_02199
HMPREF0946_RS11505	HMPREF0946_02198
HMPREF0946_RS00590	HMPREF0946_02083
HMPREF0946_RS00595	HMPREF0946_02082
HMPREF0946_RS00600	HMPREF0946_02081
HMPREF0946_RS00605	HMPREF0946_02080
HMPREF0946_RS00610	HMPREF0946_02079
HMPREF0946_RS00615	HMPREF0946_02078
HMPREF0946_RS00620	HMPREF0946_02077
HMPREF0946_RS00625	HMPREF0946_02076
HMPREF0946_RS00630	HMPREF0946_02075
HMPREF0946_RS00635	HMPREF0946_02074
HMPREF0946_RS00640	HMPREF0946_02073
HMPREF0946_RS00645	HMPREF0946_02072
HMPREF0946_RS00650	HMPREF0946_02071
HMPREF0946_RS00655	HMPREF0946_02070
HMPREF0946_RS00660	HMPREF0946_02069
HMPREF0946_RS00665	HMPREF0946_02068
HMPREF0946_RS00670	HMPREF0946_02067
HMPREF0946_RS00675	HMPREF0946_02066
HMPREF0946_RS00680	HMPREF0946_02065
