# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "rRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/FNV3_1_36A.gff" "-o" "../data/rna_align/counttable_fnv_rRNAs.txt" "../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam
HMPREF0946_RS00395	NC_022196.1	85805	85921	+	117	58880	76285	91523	69326	63370	70799	37721	24274	36047	5988361	5616248	6958834	6232411	3751691	3711925	5813151	6647308	5926122
HMPREF0946_RS00915	NC_022196.1	174927	175043	+	117	216	186	223	200	219	282	153	110	215	28108	14748	30793	17452	10817	12333	17067	11110	13199
HMPREF0946_RS02890	NC_022196.1	607698	607814	+	117	11	1	8	4	5	6	3	1	4	644	456	798	560	295	298	509	361	385
HMPREF0946_RS03335	NC_022196.1	708275	708391	+	117	141	75	161	128	148	92	102	57	108	10008	8238	10240	10773	6588	5066	6703	5843	7472
HMPREF0946_RS10415	NC_022196.1	2171517	2171633	-	117	147	116	149	112	145	200	99	85	118	4361	5035	5811	5859	3316	3317	5828	5065	4767
HMPREF0946_RS00385	NC_022196.1	81148	82706	+	1559	55944	37131	45266	53318	47196	68754	38230	47504	71474	6136	8294	7766	7050	4085	5361	5018	5601	4872
HMPREF0946_RS00390	NC_022196.1	82829	85756	+	2928	53483	34814	54941	47447	48013	61121	34494	36520	51150	16211	22901	28466	17813	10431	10305	14885	14821	16034
HMPREF0946_RS00905	NC_022196.1	170269	171827	+	1559	2334	1801	2396	1650	2082	2275	1450	1176	2143	4953	3278	3790	2920	1903	1234	997	1076	1221
HMPREF0946_RS00910	NC_022196.1	171939	174878	+	2940	172	145	256	169	181	211	147	124	172	209	222	237	172	104	87	129	135	106
HMPREF0946_RS02880	NC_022196.1	603040	604598	+	1559	1481	1139	1871	1224	1356	1653	857	956	1487	770	856	779	766	395	311	340	459	432
HMPREF0946_RS02885	NC_022196.1	604710	607649	+	2940	216	269	366	261	242	350	169	188	261	216	239	317	179	92	98	140	121	140
HMPREF0946_RS03325	NC_022196.1	703621	705176	+	1556	16	11	24	13	23	19	7	15	24	37	22	26	22	11	7	5	3	4
HMPREF0946_RS03330	NC_022196.1	705299	708226	+	2928	21	30	31	21	26	30	15	14	24	78	67	49	72	42	34	38	30	39
HMPREF0946_RS10420	NC_022196.1	2171682	2174621	-	2940	1596	1024	1595	1627	1455	1927	1092	1095	1399	613	686	1023	549	314	413	374	385	450
HMPREF0946_RS10435	NC_022196.1	2174908	2176463	-	1556	2021	1377	1917	1896	1748	2528	1389	1736	2650	387	530	705	412	234	340	352	310	348
