# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/FNV3_1_36A.gff" "-o" "../data/rna_align/counttable_fnv_tRNAs.txt" "../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam
HMPREF0946_RS00700	NC_022196.1	145609	145684	+	76	30587	16307	37181	17618	14037	23687	13441	15253	3859	35124	69180	107319	46256	32366	46728	77482	45493	66817
HMPREF0946_RS00705	NC_022196.1	145695	145771	+	77	71806	33030	83612	47390	38361	61605	36546	39497	30319	52346	113106	150123	82870	48419	70432	140225	76997	117422
HMPREF0946_RS00710	NC_022196.1	145789	145864	+	76	8418	5452	7871	9308	7001	10677	5873	7413	7128	412	857	967	701	458	794	1049	958	803
HMPREF0946_RS00715	NC_022196.1	145881	145954	+	74	2938	1570	3457	1940	1601	2769	1523	1587	1400	1713	1553	4038	1437	954	1546	1557	1006	1281
HMPREF0946_RS00720	NC_022196.1	146006	146081	+	76	27850	13899	31792	18062	15114	24032	13302	15895	5953	20862	40156	59003	29410	17994	25442	44701	25099	38362
HMPREF0946_RS00725	NC_022196.1	146089	146164	+	76	841	401	934	670	506	805	439	461	122	451	803	1012	599	440	670	1002	704	777
HMPREF0946_RS00730	NC_022196.1	146172	146246	+	75	17672	8570	14120	14735	12269	16619	10927	12686	10198	9216	12945	17976	11026	5668	9456	15408	9433	11906
HMPREF0946_RS00735	NC_022196.1	146251	146326	+	76	64	15	97	79	116	53	35	28	17	101	310	939	134	96	91	98	61	191
HMPREF0946_RS00740	NC_022196.1	146337	146413	+	77	1928	765	1663	1150	1253	1368	1014	1052	987	694	1680	2936	1093	560	949	1930	913	1479
HMPREF0946_RS00745	NC_022196.1	146422	146497	+	76	17779	10294	20457	10460	8491	14509	7538	8823	1526	16903	30558	48505	22190	15017	22849	36724	25456	30782
HMPREF0946_RS00750	NC_022196.1	146513	146596	+	84	7083	4401	7993	5189	4301	6687	3423	3648	4448	10208	12728	19711	10024	6198	9444	15699	11134	12729
HMPREF0946_RS00755	NC_022196.1	146618	146693	+	76	3597	1861	4391	2460	2053	3473	1866	2150	1519	3084	5933	8863	4376	2773	3677	6241	3769	5569
HMPREF0946_RS00760	NC_022196.1	146712	146788	+	77	78158	37865	98778	48977	40205	64707	35152	41965	22892	67809	134555	190886	91798	62205	82293	137164	75556	133232
HMPREF0946_RS00765	NC_022196.1	146793	146869	+	77	3875	2190	4565	2564	2305	3792	1837	2168	743	2761	5898	9519	4335	2675	3762	6470	3772	5897
HMPREF0946_RS00785	NC_022196.1	150713	150789	+	77	3413	1817	3783	1949	1633	2651	1422	1782	1468	3428	5157	7077	3844	2446	3365	6025	3953	5398
HMPREF0946_RS00790	NC_022196.1	150796	150870	+	75	10845	16347	20375	9627	6234	35421	4820	11141	5200	6973	13809	17796	11965	8019	10191	15587	10796	14958
HMPREF0946_RS00840	NC_022196.1	160763	160839	+	77	2625	1470	2338	1792	1805	1898	1306	1160	2181	2936	5774	5014	4659	2795	3356	3431	2526	3465
HMPREF0946_RS00845	NC_022196.1	160847	160922	+	76	681	216	582	358	391	550	326	319	228	461	1013	1257	809	413	576	1022	611	806
HMPREF0946_RS00850	NC_022196.1	160933	161008	+	76	10319	5276	12714	6631	5932	9407	4496	5679	3462	9880	16786	24646	13359	7988	9977	20708	12189	17798
HMPREF0946_RS00855	NC_022196.1	161012	161087	+	76	3839	1972	4097	2432	2138	3401	1861	2218	379	1567	3029	3288	2536	1606	2210	3871	2727	3116
HMPREF0946_RS00860	NC_022196.1	161100	161183	+	84	499	310	585	575	463	503	274	237	308	416	658	949	532	333	323	516	322	470
HMPREF0946_RS00865	NC_022196.1	161225	161299	+	75	1402	869	1440	1184	1003	1672	633	818	1094	251	347	662	324	231	259	256	196	269
HMPREF0946_RS07785	NC_022196.1	1651211	1651287	+	77	1226	614	1278	834	727	1320	653	711	542	1185	2357	4004	1787	1145	1600	3001	1701	2388
HMPREF0946_RS07920	NC_022196.1	1673429	1673512	+	84	9792	4352	9392	5752	5903	7839	4528	4977	4982	3733	5501	7712	4664	2988	3703	4507	2928	4280
HMPREF0946_RS07925	NC_022196.1	1673536	1673624	+	89	96581	49664	98835	63031	69454	89332	47629	49730	92188	38263	73330	122048	58568	33368	43373	81181	46188	74199
HMPREF0946_RS10305	NC_022196.1	2151932	2152007	+	76	295	133	224	156	156	224	139	120	299	129	246	281	229	135	166	222	128	156
HMPREF0946_RS10310	NC_022196.1	2152010	2152084	+	75	472	154	309	289	274	290	272	285	264	337	802	733	645	344	551	862	502	647
