# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "CDS,ncRNA" "-g" "id" "-a" "../data/reference_sequences/FNV3_1_36A.gff" "-o" "../data/rna_align/counttable_fnv.txt" "../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam
HMPREF0946_RS00005	NC_022196.1	46	1959	+	1914	441	306	303	457	413	585	372	366	354	274	307	255	305	242	202	107	134	114
yaaA	NC_022196.1	2009	2224	+	216	118	174	156	137	179	204	100	47	59	363	435	277	468	285	237	121	130	131
HMPREF0946_RS00015	NC_022196.1	2239	3348	+	1110	59	76	103	60	107	95	24	26	21	124	274	137	226	165	135	70	76	78
HMPREF0946_RS00020	NC_022196.1	3326	3598	+	273	4	11	5	8	5	5	4	4	0	20	14	9	17	15	8	8	5	6
gyrB	NC_022196.1	3611	5518	+	1908	484	353	399	508	483	542	324	368	176	558	740	478	750	514	377	242	241	278
gyrA	NC_022196.1	5817	8252	+	2436	809	540	619	891	813	1073	564	818	966	425	536	397	597	356	303	235	193	213
HMPREF0946_RS00035	NC_022196.1	8266	8727	+	462	31	52	59	71	67	94	47	42	40	82	179	80	243	169	87	47	53	42
pheS	NC_022196.1	8755	9771	+	1017	177	191	208	181	226	279	106	120	97	252	455	168	548	385	276	130	129	218
pheT	NC_022196.1	9786	12182	+	2397	164	177	191	184	199	230	107	130	93	324	608	300	611	449	327	194	179	249
HMPREF0946_RS00050	NC_022196.1	12213	12944	+	732	378	429	696	499	768	690	280	315	215	1464	1436	1163	1767	1220	916	455	313	438
HMPREF0946_RS00055	NC_022196.1	13052	13777	+	726	29	18	29	50	35	56	17	35	15	18	37	31	47	41	29	13	15	14
HMPREF0946_RS00060	NC_022196.1	13797	14534	+	738	34	9	21	27	37	36	25	32	20	17	42	19	37	34	29	17	18	13
HMPREF0946_RS00065	NC_022196.1	14562	15294	+	733	113	80	117	106	109	130	58	89	56	76	131	53	149	116	67	45	49	75
HMPREF0946_RS00070	NC_022196.1	15311	15496	+	186	2	1	1	4	4	7	0	1	0	0	1	2	0	2	2	0	2	1
tnpA	NC_022196.1;NC_022196.1;NC_022196.1;NC_022196.1;NC_022196.1;NC_022196.1;NC_022196.1	15670;188960;828806;1314294;1448556;1813261;2231968	16128;189418;829264;1314752;1449014;1813719;2232426	+;+;+;-;-;-;-	3213	510	555	729	515	660	571	344	250	292	848	1402	817	1261	728	551	1000	1021	1285
galE	NC_022196.1;NC_022196.1	16376;1627940	17365;1628914	-;+	1965	951	869	1094	1277	1534	1616	788	724	552	2813	2003	2684	2232	1468	1343	861	753	900
HMPREF0946_RS00085	NC_022196.1	17365	18894	-	1530	374	274	309	395	429	456	267	314	425	231	447	150	453	327	246	161	186	180
HMPREF0946_RS00090	NC_022196.1	19068	20240	-	1173	126	135	130	122	175	196	84	88	67	444	713	366	702	545	404	244	266	276
HMPREF0946_RS00095	NC_022196.1	20388	21905	-	1518	456	653	798	626	777	741	319	336	272	2094	3526	1769	3761	2594	1881	1343	1412	1461
HMPREF0946_RS00100	NC_022196.1	22207	23691	-	1485	4801	3074	3504	5015	4412	6167	3721	4838	5692	1467	2290	1542	2516	1521	1778	1364	1498	1349
HMPREF0946_RS00105	NC_022196.1	23712	24149	-	438	259	167	217	513	415	554	334	420	277	246	380	219	467	304	282	219	215	222
