# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "ID" "-a" "../data/reference_sequences/ATCC23726_updated2023.gff" "-o" "../data/rna_align/counttable_fnn23_tRNAs.txt" "../data/rna_align/ID_007547_Fnn23_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007548_Fnn23_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007549_Fnn23_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007550_Fnn23_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007551_Fnn23_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007552_Fnn23_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007553_Fnn23_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007554_Fnn23_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007555_Fnn23_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007565_Fnn23_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007566_Fnn23_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007567_Fnn23_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007568_Fnn23_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007569_Fnn23_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007570_Fnn23_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007571_Fnn23_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007572_Fnn23_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007573_Fnn23_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007547_Fnn23_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007548_Fnn23_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007549_Fnn23_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007550_Fnn23_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007551_Fnn23_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007552_Fnn23_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007553_Fnn23_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007554_Fnn23_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007555_Fnn23_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007565_Fnn23_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007566_Fnn23_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007567_Fnn23_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007568_Fnn23_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007569_Fnn23_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007570_Fnn23_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007571_Fnn23_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007572_Fnn23_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007573_Fnn23_PNAscr_16_h_C.fq.gz.bam
rna-C4N14_10010	CP028109.1	2088437	2088512	-	76	501	1433	1345	1930	1366	1650	2627	1361	2509	8	450	285	81	49	18	776	778	900
rna-C4N14_09980	CP028109.1	2083516	2083592	-	77	123	114	133	130	149	164	199	123	220	111	207	250	53	83	53	194	198	186
rna-C4N14_09975	CP028109.1	2083376	2083452	-	77	1871	1334	1124	1444	1064	1289	2120	1183	1822	136	2679	2080	326	303	299	2665	3712	1820
rna-C4N14_09970	CP028109.1	2083281	2083367	-	87	1429	1460	1297	1894	1712	1615	2934	1436	2704	157	2206	1895	1060	1068	662	4397	4204	4113
rna-C4N14_05165	CP028109.1	1076651	1076727	-	77	499	396	310	666	461	542	833	487	792	305	1288	1185	716	873	438	2184	2029	2038
rna-C4N14_05020	CP028109.1	1052470	1052553	-	84	4757	3737	3413	3847	4870	3719	6248	3004	7518	714	1680	1958	3714	5437	3001	3689	7007	4655
rna-C4N14_05015	CP028109.1	1052358	1052446	-	89	14294	14097	10021	24681	14633	18436	30837	16231	29544	2474	34107	35174	9483	9736	6799	54651	45365	46255
rna-C4N14_03275	CP028109.1	671608	671682	+	75	2921	5639	5490	8124	6544	6532	10916	5420	11246	119	837	974	800	1058	530	2489	4636	4064
rna-C4N14_03270	CP028109.1	671484	671567	+	84	985	482	777	1138	1315	1382	1837	879	1729	277	600	756	2649	2067	731	1342	972	1534
rna-C4N14_03265	CP028109.1	671396	671471	+	76	523	455	378	711	428	568	915	443	938	50	331	246	387	258	122	519	387	436
rna-C4N14_03260	CP028109.1	671317	671392	+	76	5520	4964	3374	7661	4422	5433	9268	4691	8404	459	9788	5994	1452	1584	987	14441	12783	10878
rna-C4N14_03255	CP028109.1	671231	671306	+	76	673	707	428	926	676	838	1343	623	1185	46	803	440	236	164	91	1061	1226	902
rna-C4N14_03250	CP028109.1	671147	671223	+	77	6320	4056	4747	5700	5926	6174	8807	4122	10695	1277	4771	4984	7119	4883	3031	7866	9870	8421
rna-C4N14_02860	CP028109.1	587919	587995	+	77	2094	1808	1076	2873	2415	3258	3441	1716	2907	271	4790	4041	2033	1310	756	6255	6972	4702
rna-C4N14_02855	CP028109.1	587839	587915	+	77	9759	9371	5736	11678	7808	10054	13940	8244	14252	639	17832	3914	2862	2251	1192	33612	30186	28657
rna-C4N14_01895	CP028109.1	381183	381258	-	76	4783	4022	2760	5201	4150	4846	6408	3550	5149	1393	6832	3967	4874	6034	3690	10659	11264	8544
rna-C4N14_01805	CP028109.1	357926	358001	-	76	6023	6553	4624	9474	5496	7269	13128	6481	11222	683	15109	8800	3262	2001	1250	24012	19690	19509
rna-C4N14_01690	CP028109.1	337284	337368	+	85	16773	16907	17005	25188	26582	23557	39482	18821	36943	1432	9801	11285	7800	9617	6618	20042	32272	21653
rna-C4N14_01685	CP028109.1	337193	337267	+	75	519	381	371	615	426	574	850	412	836	20	267	252	110	122	94	418	551	412
rna-C4N14_01680	CP028109.1	337115	337190	+	76	644	513	905	975	1065	1034	1572	686	1928	55	242	305	343	302	526	506	733	694
rna-C4N14_01465	CP028109.1	287208	287283	-	76	495	408	467	475	528	502	815	343	968	105	328	373	253	298	246	517	723	625
rna-C4N14_01460	CP028109.1	287121	287197	-	77	11902	12263	6596	17585	9628	12875	21295	11070	19649	1074	25077	15974	7814	7293	3231	35750	27913	28013
rna-C4N14_01455	CP028109.1	287027	287102	-	76	132	75	90	144	100	112	230	68	209	38	99	134	121	110	74	169	416	249
rna-C4N14_01450	CP028109.1	286938	287011	-	74	2096	1712	1345	2283	1786	1915	3426	1723	3293	700	3346	3157	1926	1771	1245	5371	5894	4521
rna-C4N14_01445	CP028109.1	286811	286886	-	76	596	441	445	622	690	627	1008	513	1137	211	573	517	421	347	247	706	697	681
rna-C4N14_01440	CP028109.1	286728	286803	-	76	403	330	249	645	336	546	761	416	608	45	425	259	203	217	111	794	648	897
rna-C4N14_01435	CP028109.1	286646	286720	-	75	111	126	108	203	88	204	238	63	197	18	100	56	27	20	15	138	189	117
rna-C4N14_01430	CP028109.1	286566	286641	-	76	6139	5725	3362	8346	4172	6231	9802	5798	9613	406	16362	4996	2162	1256	734	27459	21231	23727
rna-C4N14_01425	CP028109.1	286479	286555	-	77	781	509	418	895	628	871	1114	508	1072	134	686	661	732	594	260	835	740	741
rna-C4N14_01420	CP028109.1	286395	286470	-	76	7250	6320	4298	9095	5365	7360	10849	6359	10569	755	11697	3176	3580	3437	2007	22923	18453	21234
rna-C4N14_01415	CP028109.1	286296	286379	-	84	3884	3227	2669	4161	3441	3578	5493	2777	5465	939	6243	6545	4563	4149	2118	9330	9580	8303
rna-C4N14_01410	CP028109.1	286203	286278	-	76	1310	1130	848	1965	1215	1659	2442	1258	2466	354	3270	2369	1641	1559	783	4714	4715	4111
rna-C4N14_01405	CP028109.1	286108	286184	-	77	33209	31714	17007	49055	25512	35945	57194	32385	55037	3195	68046	32606	24976	23988	11995	98207	77912	73595
rna-C4N14_01400	CP028109.1	286027	286103	-	77	1473	1795	1408	2600	1616	2071	3383	1964	3429	173	3223	1341	931	893	593	5885	5841	4652
rna-C4N14_01375	CP028109.1	281559	281635	-	77	1084	965	659	1086	907	935	1601	876	1257	69	1332	907	388	339	183	2509	2689	1934
rna-C4N14_01370	CP028109.1	281478	281552	-	75	12993	7362	5666	11939	15245	6153	23867	13495	22130	2122	16201	12346	6834	6229	3358	22465	26544	19736
rna-C4N14_00435	CP028109.1	97969	98056	-	88	62579	42272	58548	75108	76204	80075	108533	56815	130945	6686	26409	28260	34451	30367	19543	52551	82896	71535
rna-C4N14_00430	CP028109.1	97885	97961	-	77	12818	11958	9155	21514	9914	18102	22037	11657	22471	853	32708	10678	7509	7002	3527	40540	34517	34105
rna-C4N14_00425	CP028109.1	97786	97861	-	76	11778	11246	7413	17640	10172	13740	21869	11601	20023	812	21660	7845	4021	3730	2103	34705	29234	27605
rna-C4N14_00420	CP028109.1	97701	97776	-	76	1936	1732	1140	2971	1850	2291	3463	2183	3498	115	2109	477	663	744	291	5128	4465	5501
rna-C4N14_00415	CP028109.1	97616	97692	-	77	7918	7367	4263	11234	6402	8639	13577	7758	12947	816	19228	11944	3472	3318	1895	31722	25753	27880
rna-C4N14_00410	CP028109.1	97530	97607	-	78	1141	996	843	1467	1117	1322	1997	1162	1714	120	1433	413	972	706	301	3226	2851	3285
rna-C4N14_00405	CP028109.1	97439	97513	-	75	8409	7836	6854	14060	7880	11157	16041	8078	13449	724	12147	7646	3503	3025	2218	19236	18034	15888
rna-C4N14_00400	CP028109.1	97354	97437	-	84	3694	2752	1966	4826	3456	4238	6759	3643	7006	284	3266	2019	2215	2299	1332	7578	7599	8163
rna-C4N14_00395	CP028109.1	97265	97340	-	76	4020	3364	3017	7161	4692	5566	9110	5156	7378	175	2076	1478	934	1012	641	4492	4440	4628
rna-C4N14_00390	CP028109.1	97178	97253	-	76	3722	3309	2037	4941	2683	4005	6033	3541	5582	215	7887	2800	1360	1044	587	12693	10340	10016
rna-C4N14_00385	CP028109.1	97093	97169	-	77	23101	24148	14054	35808	22036	29647	45044	23284	44409	2558	46085	30687	22048	22271	9616	70129	59892	60355
