# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "rRNA" "-g" "ID" "-a" "../data/reference_sequences/ATCC23726_updated2023.gff" "-o" "../data/rna_align/counttable_fnn23_rRNAs.txt" "../data/rna_align/ID_007547_Fnn23_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007548_Fnn23_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007549_Fnn23_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007550_Fnn23_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007551_Fnn23_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007552_Fnn23_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007553_Fnn23_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007554_Fnn23_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007555_Fnn23_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007565_Fnn23_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007566_Fnn23_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007567_Fnn23_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007568_Fnn23_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007569_Fnn23_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007570_Fnn23_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007571_Fnn23_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007572_Fnn23_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007573_Fnn23_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007547_Fnn23_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007548_Fnn23_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007549_Fnn23_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007550_Fnn23_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007551_Fnn23_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007552_Fnn23_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007553_Fnn23_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007554_Fnn23_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007555_Fnn23_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007565_Fnn23_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007566_Fnn23_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007567_Fnn23_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007568_Fnn23_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007569_Fnn23_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007570_Fnn23_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007571_Fnn23_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007572_Fnn23_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007573_Fnn23_PNAscr_16_h_C.fq.gz.bam
rna-C4N14_10380	CP028109.1	2166881	2168438	-	1558	15	12	12	13	11	10	18	10	15	23	31	68	30	32	12	22	24	13
rna-C4N14_10375	CP028109.1	2163831	2166758	-	2928	4	3	2	5	3	1	3	2	3	53	90	145	116	76	57	65	81	47
rna-C4N14_10370	CP028109.1	2163666	2163782	-	117	10962	4597	5699	6951	6169	5098	8554	3147	8264	8199	155086	420730	15064	7605	6085	11657	16819	12229
rna-C4N14_10025	CP028109.1	2091733	2093290	-	1558	1154	522	612	338	458	397	572	268	528	586	2089	2290	733	630	733	760	930	872
rna-C4N14_10020	CP028109.1	2088683	2091610	-	2928	30	31	18	31	35	28	60	25	30	194	727	1048	329	296	181	349	413	330
rna-C4N14_10015	CP028109.1	2088518	2088634	-	117	6	5	9	20	15	20	35	9	22	6	84	284	24	8	12	32	44	24
rna-C4N14_03335	CP028109.1	684404	684520	+	117	31	13	24	35	28	23	40	18	53	47	416	1051	64	42	41	88	75	67
rna-C4N14_03330	CP028109.1	681428	684355	+	2928	82	44	39	58	47	59	63	29	52	227	459	706	391	251	234	378	433	337
rna-C4N14_03325	CP028109.1	679747	681305	+	1559	92	56	79	33	54	50	58	24	48	91	376	501	240	179	264	197	252	206
rna-C4N14_02870	CP028109.1	591065	591181	+	117	38881	27871	33304	42166	37102	31148	51132	18745	48563	71030	552717	1417097	125496	66189	47881	110436	143912	112967
rna-C4N14_02865	CP028109.1	588089	591016	+	2928	3619	1964	2131	2994	2781	2609	4315	2207	3616	155104	309321	402252	239772	123109	102584	153610	195992	128445
rna-C4N14_02850	CP028109.1	586220	587779	+	1560	8730	6020	6761	10481	8603	8771	14474	7546	10580	63164	100273	132531	72942	41062	34619	40163	47453	39721
rna-C4N14_01820	CP028109.1	361233	362790	-	1558	23010	16840	17793	24666	18785	20073	33375	17372	23378	10610	26300	34255	15528	10360	8566	16156	19213	15090
rna-C4N14_01815	CP028109.1	358172	361099	-	2928	5680	4573	4662	8759	6807	8003	11963	6437	8697	34637	88886	115511	60078	32077	25700	48159	55852	38728
rna-C4N14_01810	CP028109.1	358007	358123	-	117	2914	2173	2490	3717	3123	2753	4189	1455	3752	4812	40569	101732	10042	5245	3818	10685	10423	7201
